lifter pos (mm), left pedal pos (mm), left slider pos (mm), right pedal pos (mm), right slider pos (mm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
0,0,3.708,0,-2.76,-0.006,-0.419,-1.293,-0.002,1.007,
0,0,2.706,0,-1.224,-0.068,-0.43,-1.069,-0.014,1.211,
0,0,1.374,0,0.672,0.107,-0.43,-1.046,0.009,-0.01,
0,0,-0.72,0,2.304,0.017,-0.419,0.18,0.003,0.054,
0,0,-2.364,0,3.396,-0.001,-0.441,0.006,0.014,0.093,
0,0,-3.432,0,3.906,0.071,-0.419,-0.101,0.009,0.363,
0,0,-3.942,0,3.696,0.017,-0.419,0.814,0.026,-1.149,
0,0,-3.648,0,2.73,0.062,-0.43,1.122,-0.042,-1.123,
0,0,-2.574,0,0.942,0.062,-0.43,1.201,0.014,-1.068,
0,0,-0.918,0,-1.146,0.008,-0.419,1.228,0.003,-0.098,
0,0,1.11,0,-2.646,0.048,-0.43,0.094,0.003,-0.077,
0,0,2.676,0,-3.6,0.031,-0.43,0.265,-0.002,-0.063,
0,0,3.57,0,-3.936,0.017,-0.43,0.26,-0.002,-0.632,
0,0,3.954,0,-3.69,-0.015,-0.419,-1.503,-0.014,1.148,
0,0,3.618,0,-2.676,0.025,-0.43,-1.139,-0.002,1.013,
0,0,2.466,0,-0.876,0.025,-0.43,-1.056,0.009,1.133,
0,0,0.786,0,1.164,-0.006,-0.408,-1.068,0.014,0.095,
0,0,-1.368,0,2.73,0.093,-0.419,-0.015,-0.008,0.099,
0,0,-2.94,0,3.696,0.071,-0.441,-0.051,-0.031,-0.119,
0,0,-3.792,0,3.942,0.11,-0.43,-0.647,-0.014,-0.782,
0,0,-3.93,0,3.378,-0.015,-0.43,1.113,0.003,-0.968,
0,0,-3.42,0,2.178,0.031,-0.43,1.083,-0.019,-1.086,
0,0,-2.34,0,0.684,0.017,-0.419,1.118,-0.014,-0.166,
0,0,-1.05,0,-0.918,-0.046,-0.408,1.082,-0.008,-0.052,
0,0,0.576,0,-2.232,-0.006,-0.419,0.071,0.026,-0.038,
0,0,1.914,0,-3.132,-0.037,-0.43,0.136,-0.008,-0.137,
0,0,2.946,0,-3.714,-0.06,-0.441,0.17,-0.019,-0.117,
0,0,3.66,0,-3.93,0.008,-0.419,0.206,-0.014,0.303,
0,0,3.948,0,-3.702,-0.029,-0.419,-1.176,-0.014,1.081,
0,0,3.732,0,-2.886,0.025,-0.419,-1.323,-0.008,1.02,
0,0,2.916,0,-1.47,0.011,-0.43,-0.956,-0.064,1.278,
0,0,1.668,0,0.378,0.008,-0.419,-1.091,-0.002,-0.12,
0,0,0.006,0,2.208,-0.032,-0.419,0.106,0.003,0.073,
0,0,-2.154,0,3.306,0.065,-0.408,0.017,-0.025,-0.059,
0,0,-3.24,0,3.846,0.11,-0.419,-0.403,0.009,-0.108,
0,0,-3.87,0,3.948,0.025,-0.419,-0.304,0.048,-0.755,
0,0,-3.918,0,3.486,-0.068,-0.419,1.049,0.009,-1.083,
0,0,-3.45,0,2.544,0.062,-0.419,1.058,-0.014,-1.222,
0,0,-2.664,0,1.248,0.057,-0.43,0.942,-0.031,-1.271,
0,0,-1.416,0,-0.354,-0.023,-0.419,1.163,-0.014,0.13,
0,0,0.228,0,-1.902,0.039,-0.43,0.175,-0.008,0.065,
0,0,1.77,0,-3.012,-0.018,-0.441,0.135,-0.025,-0.068,
0,0,3.054,0,-3.732,0.003,-0.43,0.146,0.02,-0.091,
0,0,3.72,0,-3.93,0.017,-0.419,-0.02,-0.031,0.904,
0,0,3.936,0,-3.564,-0.068,-0.408,-1.394,0.009,1.066,
0,0,3.492,0,-2.556,-0.023,-0.43,-1.051,0.037,0.967,
0,0,2.616,0,-1.194,-0.015,-0.43,-1.168,0.054,1.183,
0,0,1.146,0,0.564,-0.046,-0.43,-1.021,0.009,-0.008,
0,0,-0.558,0,2.028,0.017,-0.451,0.103,-0.036,0.048,
0,0,-1.992,0,3.06,0.039,-0.419,-0.268,-0.042,-0.064,
0,0,-3.006,0,3.684,-0.015,-0.419,-0.013,-0.002,0.038,
0,0,-3.618,0,3.936,0.076,-0.441,0.022,-0.002,0.593,
