count, lifter pos (mm), left pedal pos (mm), left slider pos (mm), right pedal pos (mm), right slider pos (mm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
154,0.315,0,0,-0.009,-0.006,1.298,-0.007,0.187,-0.044,0.001,
155,0.315,0,0,-0.009,-0.006,1.48,0.015,0.154,0.006,-0.005,
156,0.315,0,0,-0.009,-0.006,1.48,0.015,0.154,0.006,-0.005,
157,0.389,0,0,-0.009,-0.006,1.48,0.015,0.154,0.006,-0.005,
158,0.389,0,0,-0.009,-0.006,1.388,-0.007,0.204,-0.011,0.018,
159,0.467,0,0,-0.009,-0.006,1.388,-0.007,0.204,-0.011,0.018,
160,0.467,0,0,-0.009,-0.006,1.388,-0.007,0.204,-0.011,0.018,
161,0.467,0,0,-0.009,-0.006,1.335,-0.007,0.204,-0.011,0.018,
162,0.467,0,0,-0.009,-0.006,1.335,-0.007,0.193,-0.011,0.018,
163,0.467,0,0,-0.009,-0.006,1.335,-0.007,0.193,0.018,0.035,
164,0.622,0,0,-0.009,-0.006,1.335,-0.007,0.193,0.018,0.035,
165,0.622,0,0,-0.009,-0.006,1.335,-0.007,0.193,0.018,0.035,
166,0.622,0,0,-0.009,-0.006,1.388,0.004,0.204,0.029,0.035,
167,0.622,0,0,-0.009,-0.006,1.388,0.004,0.204,0.029,0.041,
168,0.735,0,0,-0.009,-0.006,1.388,0.004,0.204,0.029,0.041,
169,0.735,0,0,-0.009,-0.006,1.44,-0.007,0.204,0.029,0.041,
170,0.735,0,0,-0.009,-0.006,1.44,-0.007,0.171,-0.027,0.012,
171,0.853,0,0,-0.009,-0.006,1.44,-0.007,0.171,-0.027,0.012,
172,0.853,0,0,-0.009,-0.006,1.467,-0.007,0.171,-0.027,0.012,
173,0.853,0,0,-0.009,-0.006,1.467,-0.007,0.204,-0.039,0.018,
174,0.985,0,0,-0.009,-0.006,1.467,-0.007,0.204,-0.039,0.018,
175,0.985,0,0,-0.009,-0.006,1.467,-0.007,0.204,-0.039,0.018,
176,0.985,0,0,-0.009,-0.006,1.257,-0.007,0.199,-0.016,0.024,
177,0.985,0,0,-0.009,-0.006,1.257,-0.007,0.199,-0.016,0.024,
178,1.117,0,0,-0.009,-0.006,1.257,-0.007,0.199,-0.016,0.024,
179,1.117,0,0,-0.009,-0.006,1.257,-0.007,0.199,-0.016,0.024,
180,1.117,0,0,-0.009,-0.006,1.528,-0.007,0.199,-0.016,0.024,
181,1.117,0,0,-0.009,-0.006,1.528,-0.007,0.176,-0.005,0.001,
182,1.117,0,0,-0.009,-0.006,1.528,-0.007,0.176,-0.005,0.001,
183,1.317,0,0,-0.009,-0.006,1.528,-0.007,0.176,-0.005,0.001,
184,1.317,0,0,-0.009,-0.006,1.5,-0.007,0.199,-0.005,0.001,
185,1.317,0,0,-0.009,-0.006,1.5,-0.007,0.199,-0.027,-0.016,
186,1.458,0,0,-0.009,-0.006,1.5,-0.007,0.199,-0.027,-0.016,
187,1.458,0,0,-0.009,-0.006,1.222,-0.007,0.199,-0.027,-0.016,
188,1.458,0,0,-0.009,-0.006,1.222,-0.007,0.171,0.006,0.024,
189,1.458,0,0,-0.009,-0.006,1.222,-0.007,0.171,0.006,0.024,
190,1.606,0,0,-0.009,-0.006,1.222,-0.007,0.171,0.006,0.024,
191,1.606,0,0,-0.009,-0.006,1.326,-0.007,0.199,-0.016,0.024,
192,1.606,0,0,-0.009,-0.006,1.326,-0.007,0.199,-0.016,0.024,
193,1.742,0,0,-0.009,-0.006,1.326,-0.007,0.199,-0.016,0.024,
194,1.742,0,0,-0.009,-0.006,1.458,-0.007,0.199,-0.016,0.024,
195,1.742,0,0,-0.009,-0.006,1.458,-0.007,0.199,-0.016,0.024,
196,1.742,0,0,-0.009,-0.006,1.458,0.015,0.232,0.018,0.024,
197,1.742,0,0,-0.009,-0.006,1.458,0.015,0.232,0.018,0.018,
198,1.93,0,0,-0.009,-0.006,1.458,0.015,0.232,0.018,0.018,
199,1.93,0,0,-0.009,-0.006,1.45,-0.007,0.232,0.018,0.018,
200,1.93,0,0,-0.009,-0.006,1.45,-0.007,0.193,-0.016,0.057,
201,2.063,0,0,-0.009,-0.006,1.45,-0.007,0.193,-0.016,0.057,
202,2.063,0,0,-0.009,-0.006,1.271,-0.007,0.193,-0.016,0.057,
203,2.063,0,0,-0.009,-0.006,1.271,0.015,0.21,-0.005,0.001,
204,2.202,0,0,-0.009,-0.006,1.271,0.015,0.21,-0.005,0.001,
