lifter pos, left pedal pos, left slider pos, right pedal pos, right slider pos, lifter current, left pedal current, left slider current, right pedal current, right slider current
0,0,0,0,0,110,-806,-99,-8,-564,
0,0,0,0,0,8,-795,-138,26,-588,
0,0,0,0,0,-15,-795,-118,-36,-587,
0,0,0,0,0,25,-795,-89,37,-568,
0,0,0,0,0,-46,-806,-126,9,-582,
0,0,0,0,0,-74,-806,-109,-2,-570,
0,0,0,0,0,-60,-806,-157,-8,-598,
0,0,0,0,0,-6,-795,-120,-2,-538,
0,0,0,0,0,17,-795,-99,-14,-560,
0,0,0,0,0,17,-795,-98,3,-576,
0,0,0,0,0,-74,-806,-130,-25,-603,
0,0,0,0,0,-46,-795,-99,14,-564,
0,0,0,0,0,-29,-795,-98,-8,-586,
0,0,0,0,0,57,-806,-99,-19,-572,
0,0,0,0,0,71,-784,-109,9,-576,
0,0,0,0,0,79,-806,-138,-2,-587,
0,0,0,0,0,-6,-806,-139,-2,-582,
0,0,0,0,0,3,-806,-108,20,-608,
0,0,0,0,0,93,-795,-136,20,-569,
0,0,0,0,0,39,-784,-109,3,-570,
0,0,0,0,0,-15,-795,-129,20,-604,
0,0,0,0,0,11,-795,-120,9,-568,
0,0,0,0,0,-15,-795,-148,9,-608,
0,0,0,0,0,17,-806,-98,-8,-582,
0,0,0,0,0,22,-795,-78,-14,-572,
0,0,0,0,0,65,-806,-117,-8,-592,
0,0,0,0,0,71,-784,-88,3,-559,
0,0,0,0,0,-60,-806,-98,3,-579,
0,0,0,0,0,-15,-784,-100,-2,-577,
0,0,0,0,0,93,-806,-102,-25,-576,
0,0,0,0,0,71,-784,-99,-19,-553,
0,0,0,0,0,-20,-795,-119,31,-581,
0,0,0,0,0,39,-806,-117,37,-576,
0,0,0,0,0,-46,-784,-109,14,-597,
0,0,0,0,0,31,-795,-150,20,-578,
0,0,0,0,0,-77,-795,-118,26,-548,
0,0,0,0,0,-77,-806,-137,-2,-576,
0,0,0,0,0,48,-795,-118,48,-559,
0,0,0,0,0,-1,-817,-118,-19,-576,
0,0,0,0,0,-37,-795,-110,9,-564,
0,0,0,0,0,71,-795,-128,-25,-588,
0,0,0,0,0,88,-795,-118,9,-587,
0,0,0,0,0,57,-784,-120,26,-597,
0,0,0,0,0,8,-784,-99,37,-558,
0,0,0,0,0,-6,-784,-120,3,-593,
0,0,0,0,0,8,-806,-109,-2,-582,
0,0,0,0,0,8,-795,-109,-8,-597,
0,0,0,0,0,-46,-784,-108,3,-608,
0,0,0,0,0,-46,-795,-119,9,-543,
0,0,0,0,0,57,-806,-128,-8,-564,
0,0,0,0,0,84,-795,-108,3,-587,
0,0,0,0,0,-6,-806,-89,-8,-574,
0,0,0,0,0,8,-784,-101,-8,-576,
0,0,0,0,0,71,-795,-99,26,-579,
0,0,0,0,0,-68,-784,-88,-2,-564,
0,0,0,0,0,8,-806,-137,31,-577,
0,0,0,0,0,34,-784,-109,3,-582,
0,0,0,0,0,-46,-795,-98,-8,-613,
0,0,0,0,0,-68,-806,-149,3,-576,
0,0,0,0,0,25,-817,-79,-2,-565,
0,0,0,0,0,93,-795,-109,-2,-553,
0,0,0,0,0,-37,-817,-138,14,-576,
0,0,0,0,0,62,-795,-110,-19,-554,
0,0,0,0,0,93,-795,-117,-25,-560,
0,0,0,0,0,-15,-795,-138,3,-564,
0,0,0,0,0,22,-784,-108,-14,-564,
0,0,0,0,0,93,-806,-119,-8,-570,
0,0,0,0,0,-37,-806,-136,-8,-553,
0,0,0,0,0,-29,-795,-109,-2,-552,
0,0,0,0,0,57,-795,-118,3,-570,
0,0,0,0,0,-77,-795,-148,-2,-542,
0,0,0,0,0,-54,-784,-118,-8,-576,
0,0,0,0,0,-6,-817,-109,-2,-582,
0,0,0,0,0,-82,-795,-97,-2,-558,
0,0,0,0,0,-37,-795,-120,20,-581,
