lifter pos (mm), left pedal pos (mm), left slider pos (mm), right pedal pos (mm), right slider pos (mm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
0,0,7.566,0,-1.392,-0.06,0.196,-4.063,0.346,-2.866,
0,0,2.886,0,5.172,-0.159,0.174,-3.639,0.307,-2.213,
0,0,-4.092,0,9.006,0.043,0.206,2.048,0.352,-2.394,
0,0,-8.334,0,9.96,-0.159,0.185,2.73,0.346,-3.613,
0,0,-9.882,0,7.32,-0.011,0.196,4.078,0.313,-3.514,
0,0,-7.512,0,0.924,-0.068,0.163,3.722,0.318,3.224,
0,0,-2.148,0,-5.82,-0.096,0.196,-3.333,0.481,2.306,
0,0,5.58,0,-9.354,-0.042,0.174,-2.535,0.346,2.279,
0,0,8.7,0,-9.936,-0.011,0.174,-2.444,0.324,3.914,
0,0,9.84,0,-7.41,-0.015,0.185,-4.05,0.521,4.61,
0,0,8.01,0,-2.82,-0.119,0.185,-4.259,0.273,3.837,
0,0,4.02,0,3.36,-0.011,0.196,-4.096,0.341,-2.653,
0,0,-2.412,0,7.86,-0.074,0.153,2.304,0.358,-2.161,
0,0,-7.092,0,9.81,-0.074,0.163,2.501,0.296,-0.536,
0,0,-9.918,0,9.624,-0.065,0.196,-0.246,0.301,-4.402,
0,0,-9.024,0,5.226,-0.051,0.196,3.867,0.346,-4.334,
0,0,-5.388,0,-0.99,-0.077,0.174,3.926,0.335,3.525,
0,0,0.126,0,-6.258,-0.088,0.196,-2.968,0.307,2.506,
0,0,5.916,0,-9.27,-0.034,0.604,-2.53,0.335,2.55,
0,0,9.21,0,-9.918,-0.096,0.142,0.838,0.318,4.955,
0,0,9.54,0.003,-6.636,-0.042,0.142,-3.732,0.419,3.531,
0,0,6.684,0,-0.912,-0.114,0.142,-4.452,0.307,-2.963,
0,0,0.312,0,6.216,-0.096,0.153,4.129,0.335,-2.56,
0,0,-5.82,0,9.504,-0.065,0.131,2.267,0.335,-2.46,
0,0,-9.54,0,9.864,-0.088,0.163,-0.932,0.29,-4.368,
0,0,-9.432,0,5.046,0.02,0.153,4.229,0.301,-4.347,
0,0,-5.22,0,-2.094,-0.096,0.142,3.636,0.329,3.08,
0,0,1.86,0.003,-7.452,-0.096,0.153,-2.66,0.521,2.145,
0,0,6.966,0,-9.78,-0.15,0.153,-2.738,0.29,2.754,
0,0,9.918,0,-9.636,-0.159,0.153,1,0.284,4.088,
0,0,9.354,0,-4.944,-0.034,0.185,-3.596,0.324,3.889,
0,0,5.988,0,2.352,0.011,0.163,-4.514,0.352,-2.731,
0,0,-0.45,0,7.8,-0.096,0.163,2.776,0.324,-2.249,
0,0,-7.218,0,9.966,-0.096,0.153,2.223,0.335,0.236,
0,0,-9.93,0,9.354,-0.074,0.131,3.619,0.296,-3.669,
0,0,-8.328,0,1.23,-0.068,0.142,3.868,0.296,2.953,
0,0,-2.646,0,-6.132,-0.011,0.163,-0.187,0.318,2.458,
0,0,4.74,0,-9.492,-0.096,0.174,-2.684,0.313,2.519,
0,0,8.676,0,-9.834,0.011,0.174,-3.086,0.318,3.819,
0,0,9.654,0,-5.154,-0.105,0.142,-3.483,0.301,4.025,
0,0,5.904,0,3.444,-0.051,0.153,-3.809,0.335,-2.847,
0,0,-2.634,0,9.006,-0.077,0.131,2.139,0.318,-2.302,
0,0,-8.502,0,9.912,-0.105,0.142,-0.171,0.262,-3.895,
0,0,-9.69,0,5.928,-0.074,0.131,3.971,0.307,-4.068,
0,0,-5.946,0,-2.79,-0.119,0.142,3.871,0.268,2.859,
0,0,1.872,0,-8.13,-0.034,0.163,-2.445,0.307,2.53,
0,0,7.332,0,-9.966,-0.105,0.142,-2.373,0.358,3.8,
0,0,9.906,0,-7.176,-0.128,0.131,-4.054,0.301,3.578,
0,0,8.406,0,-1.8,-0.02,0.174,-3.999,0.273,-0.845,
0,0,3.42,0,5.382,-0.119,0.163,-4.211,0.301,-2.436,
0,0,-4.326,0,9.36,-0.096,0.153,2.394,0.301,-2.395,
0,0,-8.862,0,9.894,-0.082,0.131,-0.307,0.318,-3.82,
0,0,-9.612,0,5.634,0.011,0.174,4.123,0.273,-4.483,
0,0,-5.22,0,-3.828,0.034,0.174,4.1,0.256,2.244,
0,0,2.988,0,-8.832,-0.088,0.131,-2.798,0.301,2.235,
0,0,8.562,0.003,-9.912,-0.114,0.131,-1.012,0.329,3.784,
0,0,9.714,0,-5.73,-0.096,0.153,-3.437,0.374,3.86,
0,0,6.42,0,1.866,-0.119,0.153,-4.113,0.228,-2.808,
0,0,-1.026,0,7.974,-0.173,0.174,2.043,0.313,-2.16,
0,0,-7.632,0,9.972,0.025,0.142,2.616,0.324,-3.55,
0,0,-9.708,0,6.216,-0.037,0.142,3.913,0.29,-3.845,
0,0,-5.658,0,-2.22,-0.074,0.153,3.67,0.29,2.913,
0,0,2.778,0,-8.442,0.043,0.12,-2.835,0.313,2.632,
0,0,8.394,0,-9.966,-0.088,0.142,-2.515,0.268,3.784,
0,0,9.834,0,-7.38,-0.074,0.131,-4.228,0.307,3.428,
0,0,6.972,0,0.288,-0.042,0.153,-4.479,0.301,-2.845,
0,0,-1.53,0,7.62,-0.003,0.131,2.045,0.296,-2.126,
0,0,-7.416,0,9.906,-0.082,0.163,2.614,0.307,-0.717,
0,0,-9.918,0,9.666,-0.082,0.142,4.225,0.301,-4.233,
0,0,-9.024,0,4.956,-0.074,0.131,3.958,0.273,-4.345,
0,0,-5.952,0,-0.612,-0.082,0.163,3.577,0.307,3.309,
0,0,-0.252,0,-6.294,-0.051,0.131,-3.555,0.391,2.503,
0,0,5.37,0,-9.168,-0.128,0.174,-2.584,0.284,2.266,
0,0,8.7,0,-9.942,-0.042,0.142,-2.458,0.318,3.793,
0,0,9.858,0,-7.812,-0.114,0.142,-4.041,0.296,5.113,
0,0,8.25,0,-3.786,-0.15,0.185,-4.253,0.307,3.906,
0,0,4.116,0,2.868,-0.02,0.142,-4.066,0.324,-2.911,
0,0,-2.184,0,7.53,-0.199,0.153,2.393,0.284,-2.37,
0,0,-6.918,0,9.678,-0.051,0.163,2.569,0.273,-2.98,
0,0,-9.9,0,9.768,-0.105,0.153,-0.162,0.313,-3.896,
0,0,-9.756,0,6.33,-0.114,0.153,4.003,0.313,-3.427,
0,0,-7.476,0,0.48,-0.136,0.131,3.629,0.296,3.14,
0,0,-1.464,0,-6.294,-0.074,0.131,-1.884,0.324,2.373,
0,0,4.458,0,-9.18,-0.051,0.142,-2.852,0.296,2.641,
0,0,7.794,0,-9.966,-0.074,0.142,-2.384,0.29,3.838,
0,0,9.894,0,-7.482,-0.128,0.153,-3.855,0.436,3.638,
0,0,8.634,0,-2.7,-0.065,0.131,-4.191,0.273,3.797,
0,0,5.058,0,3.57,-0.088,0.131,-4.16,0.307,-2.854,
0,0,-0.132,0,7.68,-0.02,0.12,3.74,0.301,-2.466,
0,0,-5.7,0,9.708,-0.105,0.153,2.225,0.307,-2.673,
0,0,-9.678,0,9.762,-0.074,0.153,-0.347,0.273,-4.242,
0,0,-9.438,0,4.344,-0.091,0.131,4.002,0.279,-4.451,
0,0,-6.384,-0.003,-1.74,-0.15,0.131,3.534,0.476,3.145,
0,0,-0.312,0,-7.086,-0.056,0.185,-3.52,0.262,2.226,
0,0,5.196,0,-9.648,-0.02,0.163,-2.558,0.279,2.508,
0,0,8.652,0,-9.912,-0.029,0.142,-2.606,0.324,3.666,
0,0,9.84,0,-7.218,-0.065,0.174,-4.209,0.29,3.753,
0,0,8.124,0,-2.316,-0.06,0.163,-4.077,0.284,3.802,
0,0,4.218,0,3.306,-0.119,0.163,-3.807,0.296,-2.663,
0,0,-2.01,0,7.974,-0.068,0.131,2.329,0.104,-2.105,
0,0,-7.416,0,9.906,-0.122,0.131,2.718,0.493,-2.72,
0,0,-9.912,0,9.666,-0.042,0.174,-0.949,0.391,-4.316,
0,0,-9.426,-0.003,5.406,0.057,0.131,4.175,0.453,-3.989,
0,0,-6.576,0,-0.402,-0.003,0.153,3.578,0.144,3.32,
0,0,-0.93,0,-6.366,-0.088,0.163,-2.798,0.352,2.134,
0,0,5.19,0,-9.246,-0.096,0.142,-2.599,0.296,2.355,
0,0,9.084,0,-9.936,0.025,0.174,-2.613,0.313,3.696,
0,0,9.678,0.003,-7.392,-0.029,0.153,-3.638,0.431,3.573,
0,0,6.756,0,-1.452,-0.074,0.153,-4.318,0.296,-3.029,
0,0,0.12,0,5.976,-0.077,0.163,3.186,0.284,-2.663,
0,0,-6.024,0,9.264,-0.136,0.142,2.422,0.318,-2.403,
0,0,-9.816,0,9.942,0.025,0.142,0.104,0.29,-0.018,
0,0,-7.116,0,9.732,-0.114,0.163,3.645,0.313,-4.2,
0,0,-2.838,0,7.338,0.003,0.153,-2.096,0.324,-3.998,
0,0,-0.39,0,2.61,-0.136,0.153,-2.418,0.268,2.523,
0,0,-0.024,0,0.168,-0.065,0.153,0.041,0.324,2.647,
0,0,-0.03,0,0.012,-0.011,0.142,0,0.318,0.02,
0,0,-0.024,0,0.012,-0.065,0.163,0.019,0.318,0.087,
0,0,-0.024,0,0.012,-0.065,0.163,0.243,0.296,0.014,
0,0,-0.024,0,0.012,-0.025,0.142,0.362,0.313,0.033,
0,0,-0.024,0,0.018,-0.181,0.163,0.316,0.301,0.046,
0,0,-0.018,0,0.012,0.011,0.131,0.382,0.29,-0.003,
0,0,-0.018,0,0.012,-0.042,0.142,0.44,0.324,-0.054,
0,0,-0.018,0,0.012,-0.119,0.131,0.401,0.307,-0.065,
0,0,-0.012,0,0.012,-0.119,0.142,0.422,0.318,-0.058,
0,0,-0.012,0,0.012,-0.06,0.142,0.451,0.262,-0.098,
0,0,-0.012,0,0.012,-0.037,0.131,0.437,0.324,-0.107,
0,0,-0.006,0,0.012,-0.105,0.174,0.449,0.358,-0.154,
0,0,-0.006,0,0.012,-0.114,0.142,0.418,0.301,-0.184,
0,0,-0.006,0,0.012,0.011,0.142,0.466,0.301,-0.213,
0,0,-0.006,0,0.012,-0.105,0.131,0.518,0.335,-0.202,
0,0,0,0,0.012,-0.037,0.131,0.389,0.301,-0.228,
0,0,0,0,0.012,-0.082,0.174,0.427,0.313,-0.245,
0,0,0,0,0.012,-0.096,0.153,0.398,0.301,-0.275,
0,0,0,0,0.012,-0.065,0.153,0.408,0.301,-0.298,
0,0,0,0,0.006,0.02,0.153,0.428,0.268,-0.264,
0,0,0,0,0.006,-0.136,0.131,0.399,0.324,-0.277,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
