count, Stick Right Slider (10cm), left pedal pos (cm), left slider pos (cm), right pedal pos (cm), right slider pos (cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
208,6.59,0,0,0,0,0.586,0,0,0,0,
209,6.59,0,0,0,0,0.586,0,0,0,0,
210,6.44,0,0,0,0,0.411,0,0,0,0,
211,6.44,0,0,0,0,0.411,0,0,0,0,
212,6.29,0,0,0,0,0.618,0,0,0,0,
213,6.29,0,0,0,0,0.618,0,0,0,0,
214,6.14,0,0,0,0,0.431,0,0,0,0,
215,6.14,0,0,0,0,0.431,0,0,0,0,
216,6.14,0,0,0,0,0.431,0,0,0,0,
217,6,0,0,0,0,0.332,0,0,0,0,
218,6,0,0,0,0,0.332,0,0,0,0,
219,5.85,0,0,0,0,0.611,0,0,0,0,
220,5.85,0,0,0,0,0.611,0,0,0,0,
221,5.7,0,0,0,0,0.613,0,0,0,0,
222,5.7,0,0,0,0,0.613,0,0,0,0,
223,5.55,0,0,0,0,0.613,0,0,0,0,
224,5.55,0,0,0,0,0.621,0,0,0,0,
225,5.55,0,0,0,0,0.621,0,0,0,0,
226,5.4,0,0,0,0,0.421,0,0,0,0,
227,5.4,0,0,0,0,0.421,0,0,0,0,
228,5.26,0,0,0,0,0.4,0,0,0,0,
229,5.26,0,0,0,0,0.4,0,0,0,0,
230,5.11,0,0,0,0,0.4,0,0,0,0,
231,5.11,0,0,0,0,0.398,0,0,0,0,
232,5.11,0,0,0,0,0.398,0,0,0,0,
233,4.97,0,0,0,0,0.843,0,0,0,0,
234,4.97,0,0,0,0,0.843,0,0,0,0,
235,4.82,0,0,0,0,0.598,0,0,0,0,
236,4.82,0,0,0,0,0.598,0,0,0,0,
237,4.68,0,0,0,0,0.555,0,0,0,0,
238,4.68,0,0,0,0,0.555,0,0,0,0,
239,4.68,0,0,0,0,0.555,0,0,0,0,
240,4.53,0,0,0,0,0.702,0,0,0,0,
241,4.53,0,0,0,0,0.702,0,0,0,0,
242,4.38,0,0,0,0,0.446,0,0,0,0,
243,4.38,0,0,0,0,0.446,0,0,0,0,
244,4.24,0,0,0,0,0.454,0,0,0,0,
245,4.24,0,0,0,0,0.454,0,0,0,0,
246,4.09,0,0,0,0,0.454,0,0,0,0,
247,4.09,0,0,0,0,0.457,0,0,0,0,
248,4.09,0,0,0,0,0.457,0,0,0,0,
249,3.95,0,0,0,0,0.269,0,0,0,0,
250,3.95,0,0,0,0,0.269,0,0,0,0,
251,3.81,0,0,0,0,0.383,0,0,0,0,
252,3.81,0,0,0,0,0.383,0,0,0,0,
253,3.66,0,0,0,0,0.383,0,0,0,0,
254,3.66,0,0,0,0,0.165,0,0,0,0,
255,3.66,0,0,0,0,0.165,0,0,0,0,
256,3.51,0,0,0,0,0.37,0,0,0,0,
257,3.51,0,0,0,0,0.37,0,0,0,0,
258,3.37,0,0,0,0,0.426,0,0,0,0,
259,3.37,0,0,0,0,0.426,0,0,0,0,
260,3.22,0,0,0,0,0.426,0,0,0,0,
261,3.22,0,0,0,0,0.406,0,0,0,0,
262,3.22,0,0,0,0,0.406,0,0,0,0,
263,3.08,0,0,0,0,0.573,0,0,0,0,
264,3.08,0,0,0,0,0.573,0,0,0,0,
265,2.93,0,0,0,0,0.441,0,0,0,0,
266,2.93,0,0,0,0,0.441,0,0,0,0,
267,2.78,0,0,0,0,0.441,0,0,0,0,
268,2.78,0,0,0,0,0.693,0,0,0,0,
269,2.78,0,0,0,0,0.693,0,0,0,0,
270,2.62,0,0,0,0,0.416,0,0,0,0,
271,2.62,0,0,0,0,0.416,0,0,0,0,
272,2.48,0,0,0,0,0.418,0,0,0,0,
273,2.48,0,0,0,0,0.418,0,0,0,0,
274,2.33,0,0,0,0,0.418,0,0,0,0,
275,2.33,0,0,0,0,0.177,0,0,0,0,
276,2.33,0,0,0,0,0.177,0,0,0,0,
277,2.19,0,0,0,0,0.191,0,0,0,0,
278,2.19,0,0,0,0,0.191,0,0,0,0,
279,2.04,0,0,0,0,0.318,0,0,0,0,
280,2.04,0,0,0,0,0.318,0,0,0,0,
281,1.89,0,0,0,0,0.318,0,0,0,0,
282,1.89,0,0,0,0,0.397,0,0,0,0,
283,1.89,0,0,0,0,0.397,0,0,0,0,
284,1.74,0,0,0,0,0.209,0,0,0,0,
285,1.74,0,0,0,0,0.209,0,0,0,0,
286,1.6,0,0,0,0,0.683,0,0,0,0,
287,1.6,0,0,0,0,0.683,0,0,0,0,
288,1.45,0,0,0,0,0.433,0,0,0,0,
289,1.45,0,0,0,0,0.433,0,0,0,0,
290,1.45,0,0,0,0,0.433,0,0,0,0,
291,1.31,0,0,0,0,0.514,0,0,0,0,
292,1.31,0,0,0,0,0.514,0,0,0,0,
293,1.16,0,0,0,0,0.381,0,0,0,0,
294,1.16,0,0,0,0,0.381,0,0,0,0,
295,1.02,0,0,0,0,-4.97,0,0,0,0,
296,1.02,0,0,0,0,-4.97,0,0,0,0,
297,0.9,0,0,0,0,-4.97,0,0,0,0,
298,0.9,0,0,0,0,-3.181,0,0,0,0,
299,0.9,0,0,0,0,-3.181,0,0,0,0,
300,0.8,0,0,0,0,-2.115,0,0,0,0,
301,0.8,0,0,0,0,-2.115,0,0,0,0,
302,0.72,0,0,0,0,-0.946,0,0,0,0,
303,0.72,0,0,0,0,-0.946,0,0,0,0,
304,0.65,0,0,0,0,-0.946,0,0,0,0,
305,0.65,0,0,0,0,-0.276,0,0,0,0,
306,0.65,0,0,0,0,-0.276,0,0,0,0,
307,0.58,0,0,0,0,-0.334,0,0,0,0,
308,0.58,0,0,0,0,-0.334,0,0,0,0,
309,0.51,0,0,0,0,-0.456,0,0,0,0,
310,0.51,0,0,0,0,-0.456,0,0,0,0,
311,0.45,0,0,0,0,-0.456,0,0,0,0,
312,0.45,0,0,0,0,-0.292,0,0,0,0,
313,0.45,0,0,0,0,-0.292,0,0,0,0,
314,0.39,0,0,0,0,-0.202,0,0,0,0,
315,0.39,0,0,0,0,-0.202,0,0,0,0,
316,0.34,0,0,0,0,-0.391,0,0,0,0,
317,0.34,0,0,0,0,-0.391,0,0,0,0,
318,0.29,0,0,0,0,-0.391,0,0,0,0,
319,0.29,0,0,0,0,-0.338,0,0,0,0,
320,0.29,0,0,0,0,-0.338,0,0,0,0,
