count, Stick Right Slider (10cm), left pedal pos (cm), left slider pos (cm), right pedal pos (cm), right slider pos (cm), current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
1.46,3.72,0,0,0,0,0.479,0,0,0,0
1.47,3.72,0,0,0,0,0.479,0,0,0,0
1.48,3.68,0,0,0,0,0.479,0,0,0,0
1.49,3.68,0,0,0,0,0.563,0,0,0,0
1.5,3.68,0,0,0,0,0.563,0,0,0,0
1.51,3.65,0,0,0,0,0.472,0,0,0,0
1.52,3.65,0,0,0,0,0.472,0,0,0,0
1.53,3.61,0,0,0,0,0.6,0,0,0,0
1.54,3.61,0,0,0,0,0.6,0,0,0,0
1.55,3.57,0,0,0,0,0.6,0,0,0,0
1.56,3.57,0,0,0,0,0.491,0,0,0,0
1.57,3.57,0,0,0,0,0.491,0,0,0,0
1.58,3.53,0,0,0,0,0.562,0,0,0,0
1.59,3.53,0,0,0,0,0.562,0,0,0,0
1.6,3.48,0,0,0,0,0.531,0,0,0,0
1.61,3.48,0,0,0,0,0.531,0,0,0,0
1.62,3.44,0,0,0,0,0.531,0,0,0,0
1.63,3.44,0,0,0,0,0.505,0,0,0,0
1.64,3.44,0,0,0,0,0.505,0,0,0,0
1.65,3.39,0,0,0,0,0.487,0,0,0,0
1.66,3.39,0,0,0,0,0.487,0,0,0,0
1.67,3.34,0,0,0,0,0.584,0,0,0,0
1.68,3.34,0,0,0,0,0.584,0,0,0,0
1.69,3.34,0,0,0,0,0.584,0,0,0,0
1.7,3.29,0,0,0,0,0.539,0,0,0,0
1.71,3.29,0,0,0,0,0.539,0,0,0,0
1.72,3.24,0,0,0,0,0.566,0,0,0,0
1.73,3.24,0,0,0,0,0.566,0,0,0,0
1.74,3.19,0,0,0,0,0.574,0,0,0,0
1.75,3.19,0,0,0,0,0.574,0,0,0,0
1.76,3.13,0,0,0,0,0.574,0,0,0,0
1.77,3.13,0,0,0,0,0.5,0,0,0,0
1.78,3.13,0,0,0,0,0.5,0,0,0,0
1.79,3.07,0,0,0,0,0.556,0,0,0,0
1.8,3.07,0,0,0,0,0.556,0,0,0,0
1.81,3.01,0,0,0,0,0.544,0,0,0,0
1.82,3.01,0,0,0,0,0.544,0,0,0,0
1.83,2.95,0,0,0,0,0.544,0,0,0,0
1.84,2.95,0,0,0,0,0.546,0,0,0,0
1.85,2.95,0,0,0,0,0.546,0,0,0,0
1.86,2.88,0,0,0,0,0.595,0,0,0,0
1.87,2.88,0,0,0,0,0.595,0,0,0,0
1.88,2.82,0,0,0,0,0.491,0,0,0,0
1.89,2.82,0,0,0,0,0.491,0,0,0,0
1.9,2.75,0,0,0,0,0.488,0,0,0,0
1.91,2.75,0,0,0,0,0.488,0,0,0,0
1.92,2.75,0,0,0,0,0.488,0,0,0,0
1.93,2.68,0,0,0,0,0.501,0,0,0,0
1.94,2.68,0,0,0,0,0.501,0,0,0,0
1.95,2.61,0,0,0,0,0.66,0,0,0,0
1.96,2.61,0,0,0,0,0.66,0,0,0,0
1.97,2.54,0,0,0,0,0.516,0,0,0,0
1.98,2.54,0,0,0,0,0.516,0,0,0,0
1.99,2.47,0,0,0,0,0.516,0,0,0,0
2,2.47,0,0,0,0,0.58,0,0,0,0
2.01,2.47,0,0,0,0,0.58,0,0,0,0
2.02,2.39,0,0,0,0,0.634,0,0,0,0
2.03,2.39,0,0,0,0,0.634,0,0,0,0
2.04,2.31,0,0,0,0,0.223,0,0,0,0
2.05,2.31,0,0,0,0,0.223,0,0,0,0
2.06,2.24,0,0,0,0,0.223,0,0,0,0
2.07,2.24,0,0,0,0,0.31,0,0,0,0
