count, Stick Right Slider (10cm), left pedal pos (cm), left slider pos (cm), right pedal pos (cm), right slider pos (cm), current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
2.61,0.39,0,0,0,0,0.121,0,0,0,0,
2.62,0.39,0,0,0,0,0.121,0,0,0,0,
2.63,0.36,0,0,0,0,0.113,0,0,0,0,
2.64,0.36,0,0,0,0,0.113,0,0,0,0,
2.65,0.34,0,0,0,0,0.058,0,0,0,0,
2.66,0.34,0,0,0,0,0.058,0,0,0,0,
2.67,0.32,0,0,0,0,0.058,0,0,0,0,
2.68,0.32,0,0,0,0,0.095,0,0,0,0,
2.69,0.32,0,0,0,0,0.095,0,0,0,0,
2.7,0.29,0,0,0,0,0.085,0,0,0,0,
2.71,0.29,0,0,0,0,0.085,0,0,0,0,
2.72,0.27,0,0,0,0,0.152,0,0,0,0,
2.73,0.27,0,0,0,0,0.152,0,0,0,0,
2.74,0.25,0,0,0,0,0.091,0,0,0,0,
2.75,0.25,0,0,0,0,0.091,0,0,0,0,
2.76,0.25,0,0,0,0,0.091,0,0,0,0,
2.77,0.23,0,0,0,0,0.201,0,0,0,0,
2.78,0.23,0,0,0,0,0.201,0,0,0,0,
2.79,0.21,0,0,0,0,0.047,0,0,0,0,
2.8,0.21,0,0,0,0,0.047,0,0,0,0,
2.81,0.19,0,0,0,0,0.047,0,0,0,0,
2.82,0.19,0,0,0,0,0.104,0,0,0,0,
2.83,0.19,0,0,0,0,0.104,0,0,0,0,
2.84,0.17,0,0,0,0,-2.68,0,0,0,0,
2.85,0.17,0,0,0,0,-2.68,0,0,0,0,
2.86,0.17,0,0,0,0,-2.746,0,0,0,0,
2.87,0.17,0,0,0,0,-2.746,0,0,0,0,
2.88,0.19,0,0,0,0,-2.746,0,0,0,0,
2.89,0.19,0,0,0,0,-3.271,0,0,0,0,
2.9,0.19,0,0,0,0,-3.271,0,0,0,0,
2.91,0.23,0,0,0,0,-3.235,0,0,0,0,
2.92,0.23,0,0,0,0,-3.235,0,0,0,0,
2.93,0.28,0,0,0,0,-3.19,0,0,0,0,
2.94,0.28,0,0,0,0,-3.19,0,0,0,0,
2.95,0.36,0,0,0,0,-3.19,0,0,0,0,
2.96,0.36,0,0,0,0,-3.321,0,0,0,0,
2.97,0.36,0,0,0,0,-3.321,0,0,0,0,
